"tconst","titleType","primaryTitle","originalTitle","isAdult","startYear","runtimeMinutes","genre","averageRating","Director","Star1","Star2"
"tt21848358","movie","Jogi","Jogi",0,2022,116,"Drama","7.1","Ali Abbas Zafar","Diljit Dosanjh","Kumud Mishra"
"tt21853596","movie","The Island","The Island",0,2023,93,"Action","4.7","Shaun Paul Piccinino","Michael Jai White","Gillian White"
"tt21906206","movie","Hotel for the Holidays","Hotel for the Holidays",0,2022,84,"Comedy","5.2","Ron Oliver","Madelaine Petsch","Mena Massoud"
"tt21908676","movie","Neeyat","Neeyat",0,2023,134,"Crime","5.3","Anu Menon","Vidya Balan","Ram Kapoor"
"tt21908892","movie","Kotha Kothaga","Kotha Kothaga",0,2022,120,"Drama","7.4","Hanumaan Vasamsetty","Ajay","Anand"
"tt21909764","movie","My Fault","Culpa mía",0,2023,117,"Drama","6.2","Domingo González","Nicole Wallace","Gabriel Guevara"
"tt21909844","movie","Prestij Meselesi","Prestij Meselesi",0,2023,120,"Biography","6.1","Mahsun Kirmizigül","Ali Erkin Acir","Kerem Atasavun"
"tt21955196","movie","Stolen","Stöld",0,2024,105,"Drama","5.7","Elle Márjá Eira","Martin Wallström","Dakota Trancher Williams"
"tt21957774","movie","Irish Wish","Irish Wish",0,2024,93,"Comedy","5.2","Janeen Damian","Lindsay Lohan","Ed Speleers"
"tt21959422","movie","Retrograde","Retrograde",0,2022,94,"Documentary","7.4","Matthew Heineman","Matthew Heineman","Matthew Heineman"
"tt22004344","movie","Snack Shack","Snack Shack",0,2024,112,"Comedy","6.9","Adam Rehmeier","Conor Sherry","Gabriel LaBelle"
"tt22010428","movie","BTS: Permission to Dance on Stage - LA","BTS: Permission to Dance on Stage - LA",0,2022,130,"Documentary","8.5","Jun-Soo Park","BTS","RM"
"tt22010586","movie","Capturing the Killer Nurse","Capturing the Killer Nurse",0,2022,94,"Crime","6.4","Tim Travers Hawkins","Charles Cullen","Amy Loughren"
