"tconst","titleType","primaryTitle","originalTitle","isAdult","startYear","runtimeMinutes","genre","averageRating","Director","Star1","Star2"
"tt9747594","movie","Beasts Clawing at Straws","Jipuragirado jabgo sipeun jibseungdeul",0,2020,108,"Crime","7","Kim Yong-hoon","Jeon Do-yeon","Jung Woo-sung"
"tt9783600","movie","Spiderhead","Spiderhead",0,2022,106,"Action","5.5","Joseph Kosinski","Chris Hemsworth","Miles Teller"
"tt9784456","movie","The Kissing Booth 2","The Kissing Booth 2",0,2020,134,"Comedy","5.7","Vince Marcello","Joey King","Joel Courtney"
"tt9784708","movie","Rise of the Teenage Mutant Ninja Turtles: The Movie","Rise of the Teenage Mutant Ninja Turtles",0,2022,82,"Action","6.2","Andy Suriano","Ben Schwartz","Ben Schwartz"
"tt9784798","movie","Judas and the Black Messiah","Judas and the Black Messiah",0,2021,126,"Biography","7.4","Shaka King","LaKeith Stanfield","Daniel Kaluuya"
"tt9789042","movie","Small Engine Repair","Small Engine Repair",0,2021,102,"Crime","6.5","John Pollono","Jon Bernthal","Shea Whigham"
"tt9860728","movie","Falling Inn Love","Falling Inn Love",0,2019,98,"Comedy","5.7","Roger Kumble","Christina Milian","Adam Demos"
"tt9866072","movie","Holidate","Holidate",0,2020,104,"Comedy","6.1","John Whitesell","Emma Roberts","Luke Bracey"
"tt9900782","movie","Kaithi","Kaithi",0,2019,145,"Action","8.4","Lokesh Kanagaraj","Karthi","Narain"
"tt9907782","movie","The Cursed","Eight for Silver",0,2021,111,"Fantasy","6.2","Sean Ellis","Boyd Holbrook","Kelly Reilly"
"tt0123964","movie","Life","Life",0,1999,108,"Comedy","6.8","Ted Demme","Eddie Murphy","Martin Lawrence"
"tt0124298","movie","Blast from the Past","Blast from the Past",0,1999,112,"Comedy","6.7","Hugh Wilson","Brendan Fraser","Alicia Silverstone"
"tt0124315","movie","The Cider House Rules","The Cider House Rules",0,1999,126,"Drama","7.4","Lasse Hallström","Tobey Maguire","Charlize Theron"
"tt0125022","movie","Heartbreakers","Heartbreakers",0,2001,123,"Comedy","6.2","David Mirkin","Sigourney Weaver","Sigourney Weaver"
"tt0125439","movie","Notting Hill","Notting Hill",0,1999,124,"Comedy","7.2","Roger Michell","Hugh Grant","Julia Roberts"
"tt0125664","movie","Man on the Moon","Man on the Moon",0,1999,118,"Biography","7.4","Milos Forman","Jim Carrey","Jim Carrey"
"tt0125971","movie","Outside Providence","Outside Providence",0,1999,96,"Comedy","6.4","Michael Corrente","Shawn Hatosy","Amy Smart"
"tt0126029","movie","Shrek","Shrek",0,2001,90,"Adventure","7.9","Andrew Adamson","Mike Myers","Mike Myers"
"tt0126250","movie","Cookie's Fortune","Cookie's Fortune",0,1999,118,"Comedy","6.8","Robert Altman","Glenn Close","Julianne Moore"
"tt0126886","movie","Election","Election",0,1999,103,"Comedy","7.3","Alexander Payne","Matthew Broderick","Reese Witherspoon"
"tt0126916","movie","For Love of the Game","For Love of the Game",0,1999,137,"Drama","6.6","Sam Raimi","Kevin Costner","Kelly Preston"
"tt0127349","movie","Waking the Dead","Waking the Dead",0,2000,105,"Drama","6.4","Keith Gordon","Billy Crudup","Bill Haugland"
"tt0128278","movie","Instinct","Instinct",0,1999,126,"Drama","6.5","Jon Turteltaub","Anthony Hopkins","Cuba Gooding Jr."
"tt0128378","movie","With Fire and Sword","Ogniem i mieczem",0,1999,175,"Adventure","7","Jerzy Hoffman","Izabella Scorupco","Michal Zebrowski"
"tt0141098","movie","Forces of Nature","Forces of Nature",0,1999,105,"Comedy","5.5","Bronwen Hughes","Sandra Bullock","Ben Affleck"
"tt0141369","movie","Inspector Gadget","Inspector Gadget",0,1999,78,"Action","4.2","David Kellogg","Matthew Broderick","Matthew Broderick"
"tt0141907","movie","Town & Country","Town & Country",0,2001,104,"Comedy","4.5","Peter Chelsom","Warren Beatty","Diane Keaton"
"tt0141926","movie","U-571","U-571",0,2000,116,"Action","6.6","Jonathan Mostow","Matthew McConaughey","Bill Paxton"
"tt0141974","movie","The War Zone","The War Zone",0,1999,98,"Drama","7.2","Tim Roth","Ray Winstone","Annabelle Apsion"
"tt0142192","movie","The Corruptor","The Corruptor",0,1999,110,"Action","6.1","James Foley","Chow Yun-Fat","Mark Wahlberg"
"tt0142201","movie","Crazy in Alabama","Crazy in Alabama",0,1999,111,"Comedy","6.2","Antonio Banderas","Melanie Griffith","David Morse"
"tt0142342","movie","Big Daddy","Big Daddy",0,1999,93,"Comedy","6.4","Dennis Dugan","Adam Sandler","Joey Lauren Adams"
"tt0142688","movie","The Ninth Gate","The Ninth Gate",0,1999,133,"Mystery","6.7","Roman Polanski","Johnny Depp","Frank Langella"
"tt0142804","movie","Resurrection","Resurrection",0,1999,108,"Crime","6.1","Russell Mulcahy","Christopher Lambert","Mike Anscombe"
"tt0143145","movie","The World Is Not Enough","The World Is Not Enough",0,1999,128,"Action","6.4","Michael Apted","Pierce Brosnan","Sophie Marceau"
"tt0144084","movie","American Psycho","American Psycho",0,2000,102,"Crime","7.6","Mary Harron","Christian Bale","Justin Theroux"
"tt0144117","movie","The Boondock Saints","The Boondock Saints",0,1999,108,"Action","7.6","Troy Duffy","Willem Dafoe","Sean Patrick Flanery"
"tt0144168","movie","Dick","Dick",0,1999,94,"Comedy","6.2","Andrew Fleming","Kirsten Dunst","Michelle Williams"
"tt0144201","movie","Girl on the Bridge","La fille sur le pont",0,1999,90,"Comedy","7.5","Patrice Leconte","Vanessa Paradis","Daniel Auteuil"
"tt0144214","movie","The General's Daughter","The General's Daughter",0,1999,116,"Crime","6.4","Simon West","John Travolta","Madeleine Stowe"
"tt0144528","movie","Nutty Professor II: The Klumps","Nutty Professor II: The Klumps",0,2000,106,"Comedy","4.5","Peter Segal","Eddie Murphy","Eddie Murphy"
"tt0144640","movie","Three to Tango","Three to Tango",0,1999,98,"Comedy","6.1","Damon Santostefano","Neve Campbell","Matthew Perry"
"tt0144715","movie","Holy Smoke","Holy Smoke",0,1999,115,"Comedy","5.9","Jane Campion","Kate Winslet","Harvey Keitel"
"tt0144814","movie","The Rage: Carrie 2","The Rage: Carrie 2",0,1999,104,"Drama","4.8","Katt Shea","Emily Bergl","Jason London"
"tt0144964","movie","Highlander: Endgame","Highlander: Endgame",0,2000,87,"Action","4.6","Douglas Aarniokoski","Christopher Lambert","Adrian Paul"
"tt0145487","movie","Spider-Man","Spider-Man",0,2002,121,"Action","7.4","Sam Raimi","Tobey Maguire","Tobey Maguire"
"tt0145503","movie","Sunshine","Sunshine",0,1999,181,"Drama","7.5","István Szabó","Ralph Fiennes","Ralph Fiennes"
"tt0145531","movie","Stigmata","Stigmata",0,1999,103,"Horror","6.2","Rupert Wainwright","Patricia Arquette","Gabriel Byrne"
"tt0145547","movie","Two Hands","Two Hands",0,1999,103,"Comedy","7.1","Gregor Jordan","Heath Ledger","Bryan Brown"
"tt0145653","movie","Angela's Ashes","Angela's Ashes",0,1999,145,"Biography","7.3","Alan Parker","Emily Watson","Robert Carlyle"
"tt0145660","movie","Austin Powers: The Spy Who Shagged Me","Austin Powers: The Spy Who Shagged Me",0,1999,95,"Action","6.7","Jay Roach","Mike Myers","Mike Myers"
"tt0145681","movie","The Bone Collector","The Bone Collector",0,1999,118,"Crime","6.7","Phillip Noyce","Denzel Washington","Angelina Jolie"
"tt0145893","movie","Simply Irresistible","Simply Irresistible",0,1999,96,"Comedy","5.2","Mark Tarlov","Sarah Michelle Gellar","Sean Patrick Flanery"
"tt0145937","movie","Naqoyqatsi","Naqoyqatsi",0,2002,89,"Documentary","6.4","Godfrey Reggio","Belladonna","Marlon Brando"
"tt0146309","movie","Thirteen Days","Thirteen Days",0,2000,145,"Drama","7.3","Roger Donaldson","Kevin Costner","Bruce Greenwood"
"tt0146316","movie","Lara Croft: Tomb Raider","Lara Croft: Tomb Raider",0,2001,100,"Action","5.8","Simon West","Angelina Jolie","Jon Voight"
"tt0159097","movie","The Virgin Suicides","The Virgin Suicides",0,1999,97,"Drama","7.2","Sofia Coppola","Kirsten Dunst","Josh Hartnett"
"tt0159273","movie","Behind Enemy Lines","Behind Enemy Lines",0,2001,106,"Action","6.4","John Moore","Gene Hackman","Owen Wilson"
"tt0159365","movie","Cold Mountain","Cold Mountain",0,2003,154,"Adventure","7.2","Anthony Minghella","Jude Law","Nicole Kidman"
"tt0159485","movie","The Tough Ones","Häjyt",0,1999,105,"Action","7.1","Aleksi Mäkelä","Samuli Edelmann","Juha Veijonen"
"tt0159784","movie","Takedown","Takedown",0,2000,96,"Biography","6.2","Joe Chappelle","Skeet Ulrich","Russell Wong"
"tt0160009","movie","The Art of War","The Art of War",0,2000,117,"Action","5.7","Christian Duguay","Wesley Snipes","Donald Sutherland"
"tt0160127","movie","Charlie's Angels","Charlie's Angels",0,2000,98,"Action","5.6","McG","Cameron Diaz","Drew Barrymore"
"tt0160184","movie","Eye See You","D-Tox",0,2002,96,"Crime","5.3","Jim Gillespie","Sylvester Stallone","Charles S. Dutton"
"tt0160236","movie","Dudley Do-Right","Dudley Do-Right",0,1999,77,"Comedy","3.9","Hugh Wilson","Brendan Fraser","Sarah Jessica Parker"
"tt0160399","movie","Impostor","Impostor",0,2001,95,"Drama","6.1","Gary Fleder","Shane Brolly","Vincent D'Onofrio"
"tt0160401","movie","In Too Deep","In Too Deep",0,1999,95,"Crime","6.2","Michael Rymer","Lloyd Adams","Philip Akin"
"tt0160484","movie","Lost Souls","Lost Souls",0,2000,97,"Drama","4.8","Janusz Kaminski","Winona Ryder","Ben Chaplin"
"tt0160611","movie","Ordinary Decent Criminal","Ordinary Decent Criminal",0,2000,93,"Comedy","6.3","Thaddeus O'Sullivan","Kevin Spacey","Linda Fiorentino"
"tt0160797","movie","Rules of Engagement","Rules of Engagement",0,2000,128,"Drama","6.4","William Friedkin","Tommy Lee Jones","Samuel L. Jackson"
"tt0160862","movie","She's All That","She's All That",0,1999,95,"Comedy","5.9","Robert Iscove","Freddie Prinze Jr.","Rachael Leigh Cook"
"tt0160916","movie","The Story of Us","The Story of Us",0,1999,95,"Comedy","6","Rob Reiner","Bruce Willis","Michelle Pfeiffer"
"tt0161081","movie","What Lies Beneath","What Lies Beneath",0,2000,130,"Drama","6.6","Robert Zemeckis","Harrison Ford","Michelle Pfeiffer"
"tt0161083","movie","What's the Worst That Could Happen?","What's the Worst That Could Happen?",0,2001,94,"Comedy","5.4","Sam Weisman","Martin Lawrence","Danny DeVito"
"tt0161100","movie","The Wood","The Wood",0,1999,106,"Comedy","7","Rick Famuyiwa","Elayn J. Taylor","Omar Epps"
"tt0161292","movie","Bleeder","Bleeder",0,1999,98,"Crime","6.8","Nicolas Winding Refn","Kim Bodnia","Mads Mikkelsen"
"tt0161860","movie","Nowhere in Africa","Nirgendwo in Afrika",0,2001,141,"Biography","7.5","Caroline Link","Juliane Köhler","Merab Ninidze"
"tt0162222","movie","Cast Away","Cast Away",0,2000,143,"Adventure","7.8","Robert Zemeckis","Tom Hanks","Helen Hunt"
"tt9764362","movie","The Menu","The Menu",0,2022,107,"Comedy","7.2","Mark Mylod","Ralph Fiennes","Anya Taylor-Joy"
"tt9766332","movie","Atrangi Re","Atrangi Re",0,2021,138,"Comedy","6.5","Aanand L. Rai","Dhanush","Sara Ali Khan"
"tt9793334","movie","Anukoni Athidhi","Athiran",0,2019,136,"Drama","6.9","Vivek","Fahadh Faasil","Fahadh Faasil"
"tt9794630","movie","The Vanished","The Vanished",0,2020,115,"Action","5.7","Peter Facinelli","Anne Heche","Thomas Jane"
"tt9801736","movie","A White, White Day","Hvítur, hvítur dagur",0,2019,109,"Drama","6.6","Hlynur Pálmason","Ingvar Sigurdsson","Ída Mekkín Hlynsdóttir"
"tt9817070","movie","Law of Tehran","Metri shesh va nim",0,2019,131,"Action","7.8","Saeed Roustayi","Payman Maadi","Navid Mohammadzadeh"
"tt9820556","movie","Breach","Breach",0,2020,92,"Action","2.9","John Suits","Cody Kearsley","Bruce Willis"
"tt9824114","movie","Original Gangster","Original Gangster",0,2020,110,"Crime","5.1","Savvas D. Michael","Steve Guttenberg","Vas Blackwood"
"tt9827834","movie","Sylvie's Love","Sylvie's Love",0,2020,116,"Drama","6.8","Eugene Ashe","Tessa Thompson","Nnamdi Asomugha"
"tt9893250","movie","I Care a Lot","I Care a Lot",0,2020,118,"Comedy","6.4","J Blakeson","Rosamund Pike","Peter Dinklage"
"tt9894470","movie","VFW","VFW",0,2019,92,"Action","6.1","Joe Begos","Stephen Lang","William Sadler"
"tt9898858","movie","Coffee & Kareem","Coffee & Kareem",0,2020,88,"Action","5.2","Michael Dowse","Ed Helms","Taraji P. Henson"
"tt0035423","movie","Kate & Leopold","Kate & Leopold",0,2001,118,"Comedy","6.4","James Mangold","Meg Ryan","Hugh Jackman"
"tt0069049","movie","The Other Side of the Wind","The Other Side of the Wind",0,2018,122,"Drama","6.7","Orson Welles","John Huston","Oja Kodar"
"tt0111068","movie","Sangharsh","Sangharsh",0,1999,127,"Action","6.7","Tanuja Chandra","Preity G Zinta","Akshay Kumar"
"tt0120188","movie","Three Kings","Three Kings",0,1999,114,"Action","7.1","David O. Russell","George Clooney","Mark Wahlberg"
"tt0120202","movie","State and Main","State and Main",0,2000,105,"Comedy","6.7","David Mamet","Philip Seymour Hoffman","William H. Macy"
"tt0120263","movie","Songs from the Second Floor","Sånger från andra våningen",0,2000,98,"Comedy","7.5","Roy Andersson","Lars Nordh","Stefan Larsson"
"tt0120363","movie","Toy Story 2","Toy Story 2",0,1999,92,"Adventure","7.9","John Lasseter","Tom Hanks","Tim Allen"
"tt0120458","movie","Virus","Virus",0,1999,99,"Action","5","John Bruno","Jamie Lee Curtis","Donald Sutherland"
"tt0120596","movie","The Bachelor","The Bachelor",0,1999,101,"Comedy","5.1","Gary Sinyor","Chris O'Donnell","Renée Zellweger"
"tt0120601","movie","Being John Malkovich","Being John Malkovich",0,1999,113,"Comedy","7.7","Spike Jonze","John Cusack","Cameron Diaz"
"tt0120604","movie","Beowulf","Beowulf",0,1999,95,"Action","4.1","Graham Baker","Christopher Lambert","Rhona Mitra"
"tt0120613","movie","A Walk on the Moon","A Walk on the Moon",0,1999,107,"Drama","6.6","Tony Goldwyn","Diane Lane","Viggo Mortensen"
"tt0120616","movie","The Mummy","The Mummy",0,1999,124,"Action","7.1","Stephen Sommers","Brendan Fraser","Rachel Weisz"
"tt0120618","movie","Breakfast of Champions","Breakfast of Champions",0,1999,110,"Comedy","4.5","Alan Rudolph","Bruce Willis","Nick Nolte"
"tt0120620","movie","Brokedown Palace","Brokedown Palace",0,1999,100,"Drama","6.4","Jonathan Kaplan","Claire Danes","Kate Beckinsale"
"tt0120630","movie","Chicken Run","Chicken Run",0,2000,84,"Adventure","7.1","Peter Lord","Mel Gibson","Julia Sawalha"
"tt0120646","movie","The Deep End of the Ocean","The Deep End of the Ocean",0,1999,106,"Drama","6.3","Ulu Grosbard","Michelle Pfeiffer","Treat Williams"
